,code,name,date,weight
485,002407,多氟多,2017-06-01,0.25
486,601717,郑煤机,2017-06-01,0.19
487,600267,海正药业,2017-06-01,0.17
488,000661,长春高新,2017-06-01,0.43
489,002327,富安娜,2017-06-01,0.1
490,000786,北新建材,2017-06-01,0.33
491,002128,露天煤业,2017-06-01,0.16
492,000830,鲁西化工,2017-06-01,0.17
493,600565,迪马股份,2017-06-01,0.22
494,000697,炼石有色,2017-06-01,0.25
495,300324,旋极信息,2017-06-01,0.29
496,600184,光电股份,2017-06-01,0.07
497,002001,新 和 成,2017-06-01,0.26
498,600112,*ST天成,2017-06-01,0.08
499,600859,王府井,2017-06-01,0.13
